Sample,midx,midy,midz,East,North,elevation,Chalcocite-Digenite,Covellite,Chalcopyrite,Bornite,Pyrite,Enargite,Sphalerite,Quartz,K-Feldspar,Albite,Muscovite/Sericite,Clays,Biotite,Chlorite,Calcite,Gypsum/Anhydrite,SG,lithology,minzone,alteration,Ai
S-635,2327.91,3876.01,3982.31,2327.91,3876.01,3982.31,0.03,0,1.04,0.44,0.08,0,0.01,24.86,16.56,29.93,3.95,0.5,7.25,0.61,0.03,4.26,2.7,porphyry,PRI,POT,0.36
S-636,2538.72,3534.35,3931.51,2538.72,3534.35,3931.51,0.01,0,0.91,0.28,0.09,0,0.01,27.6,16.71,22.26,3.04,0.24,5.24,0.5,0.03,3.4,2.66,porphyry,PRI,POT,0.38
S-637,2640.54,3508.97,3927.76,2640.54,3508.97,3927.76,0.01,0,1.3,0.45,0.16,0,0.01,25.06,14.99,22.6,3.15,0.26,6.82,0.51,0.03,3.1,2.67,porphyry,PRI,POT,0.36
S-638,2594.01,3486.6,3935.72,2594.01,3486.6,3935.72,0.01,0,0.68,0.43,0.25,0,0.01,26.42,19.07,22.59,3.35,0.25,5.95,0.7,0.05,3.06,2.67,porphyry,PRI,POT,0.37
S-639,2594.01,3486.6,3935.72,2594.01,3486.6,3935.72,0.01,0,0.68,0.43,0.25,0,0.01,26.42,19.07,22.59,3.35,0.25,5.95,0.7,0.05,3.06,2.67,porphyry,PRI,POT,0.39
S-640,2525.39,3513.15,3890.98,2525.39,3513.15,3890.98,0.01,0,0.45,0.41,0.42,0,0.01,26.2,17.35,25.43,2.57,0.22,6.71,0.45,0.05,4.64,2.67,porphyry,PRI,POT,0.4
S-641,2307.34,3562.36,3858.88,2307.34,3562.36,3858.88,0.02,0,0.62,0.28,0.14,0,0.01,23.92,10.79,25.05,1.77,0.41,8.98,0.66,0.04,3.26,2.68,porphyry,PRI,POT,0.36
S-642,2484.41,3497.39,3906.31,2484.41,3497.39,3906.31,0.01,0,1.07,0.53,0.03,0,0.01,28.66,18.66,24.9,3.22,0.23,5.33,0.39,0.05,5.22,2.65,porphyry,PRI,POT,0.43
S-643,2734.86,3674.34,3938.72,2734.86,3674.34,3938.72,0.02,0,0.69,0.21,0.34,0,0.01,27.66,18.06,30.01,2.93,0.54,4.13,0.55,0.06,2.57,2.66,porphyry,PRI,POT,0.38
S-644,2734.86,3674.34,3938.72,2734.86,3674.34,3938.72,0.02,0,0.69,0.21,0.34,0,0.01,27.66,18.06,30.01,2.93,0.54,4.13,0.55,0.06,2.57,2.66,porphyry,PRI,POT,0.38
S-645,2724.48,3504.71,3566.09,2724.48,3504.71,3566.09,0.02,0.01,0.22,0.56,0.01,0,0.01,16.1,28.86,22.58,1.87,0.67,9.26,0.27,0.05,6.63,,porphyry,PRI,POT,0.41
S-646,3160.62,4080,4228.03,3160.62,4080,4228.03,0.02,0.01,1.01,0.33,0.03,0,0.01,23.09,20.18,23.5,3.45,1.13,5.43,0.83,0.06,3.41,,porphyry,PRI,POT,0.49
S-647,2909.99,3298.24,3843.46,2909.99,3298.24,3843.46,0.02,0.03,0.89,0.7,0.02,0,0.01,28.31,14.02,13.96,6.94,1.22,6.7,1.28,0.05,3.65,,porphyry,PRI,POT,0.39
S-648,2884.44,3411.32,3749.11,2884.44,3411.32,3749.11,0.07,0.03,0.6,1.17,0.01,0,0.01,23.13,20.02,9.05,3.06,1.37,7.16,1.14,0.06,3.47,,porphyry,PRI,POT,0.42
S-649,3161.02,4100.93,4142.56,3161.02,4100.93,4142.56,0.02,0.25,1.34,0.26,0.05,0,0.01,26.64,16.48,19.08,3.79,3.5,4.73,0.37,0.1,3.67,,porphyry,PRI,POT,0.51
S-650,2727.91,3480.98,3650.76,2727.91,3480.98,3650.76,0.01,0.01,0.39,0.46,0.01,0,0.01,18.33,23.55,29.56,2.57,1.25,7.03,0.49,0.07,6.72,,porphyry,PRI,POT,0.47
S-651,2870.96,3414.04,3563.67,2870.96,3414.04,3563.67,0,0,0.25,0.62,0,0,0.01,23.37,16.58,10.68,1.66,0.95,9.6,0.81,0.07,4.6,,porphyry,PRI,POT,0.38
S-652,3055.18,4013.18,4068.83,3055.18,4013.18,4068.83,0,0.01,0.21,0.06,0,0,0.01,20.77,14.36,13.25,1.19,2.3,4.77,1.99,0.19,1.13,,porphyry,PRI,POT,0.34
S-653,3054.3,3877.28,4070.76,3054.3,3877.28,4070.76,0.02,0.03,0.7,0.69,0.05,0,0.01,28.87,22.87,20.02,3.08,1.33,5.63,0.53,0.08,2.71,,porphyry,PRI,POT,0.45
S-654,3058.3,4016.25,4194.75,3058.3,4016.25,4194.75,0.01,0,0.52,0.37,0.01,0,0.01,26.25,18.7,22.53,1.57,1.61,5.75,0.79,0.06,4.43,,porphyry,PRI,POT,0.4
S-655,3110.18,4020.19,4209.18,3110.18,4020.19,4209.18,0.03,0,0.59,1.07,0.01,0,0.01,35.63,22.28,17.39,1.75,0.5,6.74,0.71,0.2,2.04,,porphyry,PRI,POT,0.54
S-656,3109.37,4019.98,4109.2,3109.37,4019.98,4109.2,0.01,0,0.35,0.01,0.35,0,0.01,22.47,15.58,19.2,0.96,0.27,9.15,1.7,0.05,1.74,,porphyry,PRI,POT,0.39
